Name	Px	Py	Pz	Ox	Oy	Oz	Layx	Layy
TR1 X	0.087047	0.041196	-0.040748	0.23632	-0.97047	0.048282	0.3948	0.24866
TR1 Y	0.087047	0.041196	-0.040748	0.091146	-0.02733	-0.99546	0.3948	0.24866
TR1 Z	0.087047	0.041196	-0.040748	-0.96739	-0.23965	-0.081996	0.3948	0.24866
TR2 X	0.09056	0.02112	-0.0099736	-0.21303	0.9722	0.097143	0.36127	0.12019
TR2 Y	0.09056	0.02112	-0.0099736	-0.0060569	-0.10074	0.99489	0.36127	0.12019
TR2 Z	0.09056	0.02112	-0.0099736	-0.97703	-0.21136	-0.027349	0.36127	0.12019
TR3 X	0.095354	0.00080674	-0.045997	0.15324	-0.98766	0.032335	0.45	0.019307
TR3 Y	0.095354	0.00080674	-0.045997	0.022134	-0.029283	-0.99933	0.45	0.019307
TR3 Z	0.095354	0.00080674	-0.045997	-0.98794	-0.15385	-0.017374	0.45	0.019307
TR4 X	0.094845	-0.015923	-0.0072574	0.014168	0.99472	0.10162	0.35862	-0.055418
TR4 Y	0.094845	-0.015923	-0.0072574	-0.073831	-0.10031	0.99221	0.35862	-0.055418
TR4 Z	0.094845	-0.015923	-0.0072574	-0.99717	0.02156	-0.07202	0.35862	-0.055418
TR5 X	0.091818	-0.042077	-0.039122	-0.3338	-0.94264	-0.003288	0.39135	-0.19541
TR5 Y	0.091818	-0.042077	-0.039122	0.020568	-0.003796	-0.99978	0.39135	-0.19541
TR5 Z	0.091818	-0.042077	-0.039122	-0.94242	0.3338	-0.020655	0.39135	-0.19541
TR6 X	0.086226	-0.054614	-0.0027921	0.35219	0.92252	0.15788	0.29537	-0.20724
TR6 Y	0.086226	-0.054614	-0.0027921	-0.072704	-0.14122	0.98731	0.29537	-0.20724
TR6 Z	0.086226	-0.054614	-0.0027921	-0.9331	0.3592	-0.017336	0.29537	-0.20724
FC1 X	-5.1978e-05	0.11437	-0.01051	0.045117	0.19284	-0.98019	0.00094378	0.45674
FC1 Y	-5.1978e-05	0.11437	-0.01051	-0.99897	0.0033307	-0.045326	0.00094378	0.45674
