name	Px	Py	Pz	Ox	Oy	Oz	Units
TL2(Y)	-8.960611e-02	2.090786e-02	-9.997310e-03	6.081420e-03	-1.007501e-01	9.948932e-01	m
TL2(Z)	-8.960611e-02	2.090786e-02	-9.997310e-03	9.771803e-01	-2.106491e-01	-2.730501e-02	m
TL3(X)	-9.436741e-02	7.196141e-04	-4.600525e-02	1.527330e-01	9.877411e-01	-3.225200e-02	m
TL3(Y)	-9.436741e-02	7.196141e-04	-4.600525e-02	-2.207006e-02	-2.921773e-02	-9.993294e-01	m
TL3(Z)	-9.436741e-02	7.196141e-04	-4.600525e-02	9.880211e-01	-1.533420e-01	-1.733700e-02	m
TL4(X)	-9.385000e-02	-1.590804e-02	-7.328483e-03	1.399800e-02	-9.947213e-01	-1.016540e-01	m
TL4(Y)	-9.385000e-02	-1.590804e-02	-7.328483e-03	7.371889e-02	-1.003606e-01	9.922163e-01	m
TL4(Z)	-9.385000e-02	-1.590804e-02	-7.328483e-03	9.971808e-01	2.138200e-02	-7.192499e-02	m
TL5(X)	-9.092663e-02	-4.176874e-02	-3.915435e-02	-3.313359e-01	9.435076e-01	3.158999e-03	m
TL5(Y)	-9.092663e-02	-4.176874e-02	-3.915435e-02	-2.081975e-02	-3.963977e-03	-9.997754e-01	m
TL5(Z)	-9.092663e-02	-4.176874e-02	-3.915435e-02	9.432832e-01	3.313271e-01	-2.095700e-02	m
TL6(X)	-8.536487e-02	-5.424926e-02	-2.812693e-03	3.501960e-01	-9.232880e-01	-1.578040e-01	m
TL6(Y)	-8.536487e-02	-5.424926e-02	-2.812693e-03	7.288819e-02	-1.411002e-01	9.873085e-01	m
TL6(Z)	-8.536487e-02	-5.424926e-02	-2.812693e-03	9.338360e-01	3.572540e-01	-1.788400e-02	m
FR1(X)	4.344674e-02	1.037239e-01	-1.596379e-02	8.021912e-01	-5.544091e-01	2.216300e-01	m
FR1(Y)	4.344674e-02	1.037239e-01	-1.596379e-02	2.846500e-01	2.882018e-02	-9.581982e-01	m
FR1(Z)	4.344674e-02	1.037239e-01	-1.596379e-02	-5.248469e-01	-8.317448e-01	-1.809320e-01	m
FR2(X)	7.154518e-02	7.616197e-02	-2.658856e-02	5.155811e-01	-8.542601e-01	6.645101e-02	m
FR2(Y)	7.154518e-02	7.616197e-02	-2.658856e-02	1.427830e-01	9.187926e-03	-9.897114e-01	m
FR2(Z)	7.154518e-02	7.616197e-02	-2.658856e-02	-8.448608e-01	-5.197639e-01	-1.267110e-01	m
FR3(X)	2.671491e-02	1.016886e-01	2.233832e-02	-5.810279e-01	5.162219e-01	-6.292229e-01	m
FR3(Y)	2.671491e-02	1.016886e-01	2.233832e-02	-7.557163e-01	-5.516899e-02	6.525713e-01	m
FR3(Z)	2.671491e-02	1.016886e-01	2.233832e-02	-3.021580e-01	-8.546761e-01	-4.221721e-01	m
FR4(X)	6.040977e-02	8.095781e-02	1.411191e-02	-6.170893e-01	7.818183e-01	-8.922404e-02	m
FR4(Y)	6.040977e-02	8.095781e-02	1.411191e-02	-2.674036e-01	-1.017081e-01	9.582019e-01	m
FR4(Z)	6.040977e-02	8.095781e-02	1.411191e-02	-7.400649e-01	-6.151549e-01	-2.718240e-01	m
FR5(X)	8.084801e-02	5.126231e-02	1.593539e-03	-3.805190e-01	9.230649e-01	5.618299e-02	m
FR5(Y)	8.084801e-02	5.126231e-02	1.593539e-03	-1.022691e-01	-1.023838e-01	9.894739e-01	m
FR5(Z)	8.084801e-02	5.126231e-02	1.593539e-03	-9.191008e-01	-3.707679e-01	-1.333600e-01	m
FR6(X)	3.807730e-02	7.463757e-02	5.083652e-02	4.057179e-01	-8.053939e-01	4.321269e-01	m
FR6(Y)	3.807730e-02	7.463757e-02	5.083652e-02	7.911193e-01	7.266978e-02	-6.073297e-01	m
FR6(Z)	3.807730e-02	7.463757e-02	5.083652e-02	-4.577372e-01	-5.882682e-01	-6.666462e-01	m
FR7(X)	6.800889e-02	4.872368e-02	4.029380e-02	3.857611e-01	-9.150763e-01	1.175740e-01	m
FR7(Y)	6.800889e-02	4.872368e-02	4.029380e-02	5.110008e-01	1.058148e-01	-8.530425e-01	m
FR7(Z)	6.800889e-02	4.872368e-02	4.029380e-02	-7.681579e-01	-3.891510e-01	-5.084240e-01	m
PR1(X)	3.921185e-02	4.062163e-02	7.055845e-02	2.252591e-01	-9.357845e-01	2.712301e-01	m
PR1(Y)	3.921185e-02	4.062163e-02	7.055845e-02	8.674899e-01	6.590694e-02	-4.930695e-01	m
PR1(Z)	3.921185e-02	4.062163e-02	7.055845e-02	-4.435308e-01	-3.463579e-01	-8.266297e-01	m
PR2(X)	6.881005e-02	1.325623e-02	5.825281e-02	-2.561480e-01	9.623439e-01	-9.100799e-02	m
PR2(Y)	6.881005e-02	1.325623e-02	5.825281e-02	-6.515308e-01	-1.023321e-01	7.516886e-01	m
PR2(Z)	6.881005e-02	1.325623e-02	5.825281e-02	-7.140699e-01	-2.518380e-01	-6.532089e-01	m
PR3(X)	8.733025e-02	1.551192e-02	2.431858e-02	2.499709e-01	-9.644605e-01	-8.561796e-02	m
PR3(Y)	8.733025e-02	1.551192e-02	2.431858e-02	2.320146e-01	1.455128e-01	-9.617667e-01	m
PR3(Z)	8.733025e-02	1.551192e-02	2.431858e-02	-9.400446e-01	-2.205489e-01	-2.601429e-01	m
PR4(X)	3.907267e-02	3.297196e-03	8.273062e-02	1.488360e-01	-9.784078e-01	1.434090e-01	m
PR4(Y)	3.907267e-02	3.297196e-03	8.273062e-02	8.937118e-01	7.102205e-02	-4.429844e-01	m
PR4(Z)	3.907267e-02	3.297196e-03	8.273062e-02	-4.232340e-01	-1.940990e-01	-8.849850e-01	m
PR5(X)	6.805776e-02	-2.542820e-02	6.603586e-02	-3.655500e-02	9.926880e-01	1.150400e-01	m
PR5(Y)	6.805776e-02	-2.542820e-02	6.603586e-02	-7.056418e-01	-1.071545e-01	7.004196e-01	m
PR5(Z)	6.805776e-02	-2.542820e-02	6.603586e-02	-7.076252e-01	5.557302e-02	-7.043992e-01	m
PR6(X)	8.905858e-02	-2.444798e-02	3.095652e-02	-3.350001e-02	-9.824312e-01	-1.835940e-01	m
