Name	Px	Py	Pz	Ox	Oy	Oz	Layx	Layx
PL5 Y	-5.494229e-02	-1.922217e-02	5.783464e-02	6.713999e-01	-4.123120e-01	6.158093e-01	4.168602e-01	5.315955e-01
PL5 Z	-5.494229e-02	-1.922217e-02	5.783464e-02	6.971463e-01	6.948921e-02	-7.135533e-01	4.168602e-01	5.315955e-01
PL6 X	-7.263149e-02	-6.872524e-03	2.751914e-02	2.347827e-01	8.211671e-01	5.201554e-01	3.218791e-01	5.338295e-01
PL6 Y	-7.263149e-02	-6.872524e-03	2.751914e-02	-2.109958e-01	5.654068e-01	-7.973681e-01	3.218791e-01	5.338295e-01
PL6 Z	-7.263149e-02	-6.872524e-03	2.751914e-02	9.488719e-01	-7.745764e-02	-3.060106e-01	3.218791e-01	5.338295e-01
PL7 X	-6.259839e-02	-4.496210e-02	3.309055e-02	2.392575e-01	-8.422013e-01	-4.831696e-01	4.146513e-01	4.265975e-01
PL7 Y	-6.259839e-02	-4.496210e-02	3.309055e-02	4.847456e-01	-3.275616e-01	8.110025e-01	4.146513e-01	4.265975e-01
PL7 Z	-6.259839e-02	-4.496210e-02	3.309055e-02	8.412952e-01	4.282528e-01	-3.298818e-01	4.146513e-01	4.265975e-01
PL8 X	-7.348411e-02	-3.530070e-02	-3.948759e-03	-2.683502e-01	9.277359e-01	2.594114e-01	3.042082e-01	4.198955e-01
PL8 Y	-7.348411e-02	-3.530070e-02	-3.948759e-03	-1.395712e-01	2.290034e-01	-9.633677e-01	3.042082e-01	4.198955e-01
PL8 Z	-7.348411e-02	-3.530070e-02	-3.948759e-03	9.531569e-01	2.947263e-01	-6.803212e-02	3.042082e-01	4.198955e-01
PR1 X	2.767462e-02	-7.283055e-03	7.347518e-02	6.296176e-01	-7.510378e-01	-1.988063e-01	6.598351e-01	6.768055e-01
PR1 Y	2.767462e-02	-7.283055e-03	7.347518e-02	7.008485e-01	6.594929e-01	-2.718097e-01	6.598351e-01	6.768055e-01
PR1 Z	2.767462e-02	-7.283055e-03	7.347518e-02	-3.352507e-01	-3.180312e-02	-9.415920e-01	6.598351e-01	6.768055e-01
PR2 X	4.765528e-02	1.647560e-02	5.894346e-02	-7.701091e-01	3.808291e-01	5.117628e-01	7.327276e-01	6.790395e-01
PR2 Y	4.765528e-02	1.647560e-02	5.894346e-02	-2.040984e-01	-9.071724e-01	3.679431e-01	7.327276e-01	6.790395e-01
PR2 Z	4.765528e-02	1.647560e-02	5.894346e-02	-6.043805e-01	-1.789064e-01	-7.763483e-01	7.327276e-01	6.790395e-01
PR3 X	6.812984e-02	3.647419e-02	2.155946e-02	3.363115e-01	-8.890675e-01	-3.105698e-01	8.718860e-01	6.812735e-01
PR3 Y	6.812984e-02	3.647419e-02	2.155946e-02	1.924833e-01	3.877105e-01	-9.014603e-01	8.718860e-01	6.812735e-01
PR3 Z	6.812984e-02	3.647419e-02	2.155946e-02	-9.218702e-01	-2.433920e-01	-3.015222e-01	8.718860e-01	6.812735e-01
PR4 X	3.648584e-02	-4.737025e-02	6.193672e-02	1.068606e-01	-8.156507e-01	-5.685901e-01	6.642528e-01	5.382975e-01
PR4 Y	3.648584e-02	-4.737025e-02	6.193672e-02	8.957629e-01	3.271563e-01	-3.009611e-01	6.642528e-01	5.382975e-01
PR4 Z	3.648584e-02	-4.737025e-02	6.193672e-02	-4.314970e-01	4.771610e-01	-7.655898e-01	6.642528e-01	5.382975e-01
PR5 X	5.597308e-02	-2.294656e-02	5.646484e-02	-2.514144e-01	9.083887e-01	3.340968e-01	7.437719e-01	5.360635e-01
PR5 Y	5.597308e-02	-2.294656e-02	5.646484e-02	-6.713999e-01	-4.123120e-01	6.158093e-01	7.437719e-01	5.360635e-01
PR5 Z	5.597308e-02	-2.294656e-02	5.646484e-02	-6.971463e-01	6.948921e-02	-7.135533e-01	7.437719e-01	5.360635e-01
PR6 X	7.166888e-02	-3.505739e-03	2.965178e-02	2.347827e-01	-8.211671e-01	-5.201554e-01	8.387530e-01	5.405315e-01
PR6 Y	7.166888e-02	-3.505739e-03	2.965178e-02	2.109958e-01	5.654068e-01	-7.973681e-01	8.387530e-01	5.405315e-01
PR6 Z	7.166888e-02	-3.505739e-03	2.965178e-02	-9.488719e-01	-7.745764e-02	-3.060106e-01	8.387530e-01	5.405315e-01
PR7 X	6.161743e-02	-4.841512e-02	3.110956e-02	2.392575e-01	8.422013e-01	4.831696e-01	7.592339e-01	4.265975e-01
PR7 Y	6.161743e-02	-4.841512e-02	3.110956e-02	-4.847456e-01	-3.275616e-01	8.110025e-01	7.592339e-01	4.265975e-01
PR7 Z	6.161743e-02	-4.841512e-02	3.110956e-02	-8.412952e-01	4.282528e-01	-3.298818e-01	7.592339e-01	4.265975e-01
PR8 X	7.458435e-02	-3.149698e-02	-2.885172e-03	-2.683502e-01	-9.277359e-01	-2.594114e-01	8.608416e-01	4.154275e-01
PR8 Y	7.458435e-02	-3.149698e-02	-2.885172e-03	1.395712e-01	2.290034e-01	-9.633677e-01	8.608416e-01	4.154275e-01
PR8 Z	7.458435e-02	-3.149698e-02	-2.885172e-03	-9.531569e-01	2.947263e-01	-6.803212e-02	8.608416e-01	4.154275e-01
TL1 X	-6.162945e-02	5.861089e-02	-8.246907e-03	5.309394e-01	6.749499e-01	5.123923e-01	2.467777e-01	8.175475e-01
TL1 Y	-6.162945e-02	5.861089e-02	-8.246907e-03	2.877442e-01	4.251377e-01	-8.581732e-01	2.467777e-01	8.175475e-01
TL1 Z	-6.162945e-02	5.861089e-02	-8.246907e-03	7.970612e-01	-6.030759e-01	-3.150947e-02	2.467777e-01	8.175475e-01
TL2 X	-7.361901e-02	3.333555e-02	-2.660792e-02	2.228261e-01	7.871096e-01	5.751582e-01	1.606321e-01	6.432955e-01
TL2 Y	-7.361901e-02	3.333555e-02	-2.660792e-02	1.805411e-01	5.464664e-01	-8.177893e-01	1.606321e-01	6.432955e-01
TL2 Z	-7.361901e-02	3.333555e-02	-2.660792e-02	9.579945e-01	-2.860645e-01	2.033868e-02	1.606321e-01	6.432955e-01
TL3 X	-7.643109e-02	9.424645e-03	2.657139e-03	-8.391879e-02	-9.854071e-01	-1.480896e-01	2.202714e-01	5.338295e-01
TL3 Y	-7.643109e-02	9.424645e-03	2.657139e-03	8.985239e-02	-1.554913e-01	9.837423e-01	2.202714e-01	5.338295e-01
TL3 Z	-7.643109e-02	9.424645e-03	2.657139e-03	9.924133e-01	-6.924827e-02	-1.015898e-01	2.202714e-01	5.338295e-01
TL4 X	-7.825433e-02	-1.400943e-02	-3.501071e-02	-6.666352e-02	9.289279e-01	3.642100e-01	1.672587e-01	4.332995e-01
TL4 Y	-7.825433e-02	-1.400943e-02	-3.501071e-02	2.003737e-02	3.661948e-01	-9.303225e-01	1.672587e-01	4.332995e-01
TL4 Z	-7.825433e-02	-1.400943e-02	-3.501071e-02	9.975743e-01	5.472076e-02	4.302511e-02	1.672587e-01	4.332995e-01
TR1 X	5.945260e-02	6.137819e-02	-6.146098e-03	5.309394e-01	-6.749499e-01	-5.123923e-01	9.116455e-01	8.153135e-01
TR1 Y	5.945260e-02	6.137819e-02	-6.146098e-03	-2.877442e-01	4.251377e-01	-8.581732e-01	9.116455e-01	8.153135e-01
TR1 Z	5.945260e-02	6.137819e-02	-6.146098e-03	-7.970612e-01	-6.030759e-01	-3.150947e-02	9.116455e-01	8.153135e-01
TR2 X	7.270543e-02	3.656270e-02	-2.424977e-02	2.228261e-01	-7.871096e-01	-5.751582e-01	1	6.388275e-01
TR2 Y	7.270543e-02	3.656270e-02	-2.424977e-02	-1.805411e-01	5.464664e-01	-8.177893e-01	1	6.388275e-01
TR2 Z	7.270543e-02	3.656270e-02	-2.424977e-02	-9.579945e-01	-2.860645e-01	2.033868e-02	1	6.388275e-01
TR3 X	7.677516e-02	5.384476e-03	2.049972e-03	-8.391879e-02	9.854071e-01	1.480896e-01	9.425696e-01	5.382975e-01
TR3 Y	7.677516e-02	5.384476e-03	2.049972e-03	-8.985239e-02	-1.554913e-01	9.837423e-01	9.425696e-01	5.382975e-01
TR3 Z	7.677516e-02	5.384476e-03	2.049972e-03	-9.924133e-01	-6.924827e-02	-1.015898e-01	9.425696e-01	5.382975e-01
TR4 X	7.852765e-02	-1.020083e-02	-3.351745e-02	-6.666352e-02	-9.289279e-01	-3.642100e-01	9.955823e-01	4.355335e-01
TR4 Y	7.852765e-02	-1.020083e-02	-3.351745e-02	-2.003737e-02	3.661948e-01	-9.303225e-01	9.955823e-01	4.355335e-01
TR4 Z	7.852765e-02	-1.020083e-02	-3.351745e-02	-9.975743e-01	5.472076e-02	4.302511e-02	9.955823e-01	4.355335e-01
