Name	Px	Py	Pz	Ox	Oy	Oz	Layx	Layy
FR5 X	0.078046	0.050311	0.0012678	-0.43968	0.89773	0.027692	0.28818	0.23021
FR5 Y	0.078046	0.050311	0.0012678	-0.13187	-0.095023	0.9867	0.28818	0.23021
FR5 Z	0.078046	0.050311	0.0012678	-0.88842	-0.43018	-0.16017	0.28818	0.23021
FR6 X	0.034532	0.069952	0.045571	0.36146	-0.79435	0.48822	0.10208	0.25282
FR6 Y	0.034532	0.069952	0.045571	0.84024	0.050543	-0.53985	0.10208	0.25282
FR6 Z	0.034532	0.069952	0.045571	-0.40415	-0.60536	-0.68571	0.10208	0.25282
FR7 X	0.064082	0.04673	0.037698	0.37874	-0.90456	0.19579	0.20175	0.18543
FR7 Y	0.064082	0.04673	0.037698	0.595	0.075939	-0.80013	0.20175	0.18543
FR7 Z	0.064082	0.04673	0.037698	-0.70889	-0.41954	-0.56697	0.20175	0.18543
PR1 X	0.035925	0.03793	0.063951	-0.18995	0.93445	-0.30121	0.10517	0.14395
PR1 Y	0.035925	0.03793	0.063951	-0.89904	-0.042274	0.43582	0.10517	0.14395
PR1 Z	0.035925	0.03793	0.063951	-0.39451	-0.35359	-0.84814	0.10517	0.14395
PR2 X	0.064996	0.011917	0.054813	-0.2266	0.96056	-0.16117	0.19277	0.055977
PR2 Y	0.064996	0.011917	0.054813	-0.73271	-0.059092	0.67797	0.19277	0.055977
PR2 Z	0.064996	0.011917	0.054813	-0.64171	-0.27172	-0.7172	0.19277	0.055977
PR3 X	0.08536	0.015194	0.024032	0.28516	-0.95789	-0.033577	0.28288	0.073644
PR3 Y	0.08536	0.015194	0.024032	0.29999	0.12247	-0.94605	0.28288	0.073644
PR3 Z	0.08536	0.015194	0.024032	-0.91033	-0.2597	-0.32228	0.28288	0.073644
PR4 X	0.03591	0.0017762	0.075641	0.11822	-0.9791	0.16547	0.098986	0.021903
PR4 Y	0.03591	0.0017762	0.075641	0.91928	0.044912	-0.39103	0.098986	0.021903
PR4 Z	0.03591	0.0017762	0.075641	-0.37543	-0.19834	-0.90538	0.098986	0.021903
PR5 X	0.064228	-0.025152	0.062236	-0.012312	0.9966	0.081489	0.17293	-0.058763
PR5 Y	0.064228	-0.025152	0.062236	-0.77259	-0.061217	0.63195	0.17293	-0.058763
PR5 Z	0.064228	-0.025152	0.062236	-0.63479	0.055176	-0.77071	0.17293	-0.058763
PR6 X	0.087435	-0.024372	0.030721	-0.045878	-0.98521	-0.16509	0.2634	-0.064958
PR6 Y	0.087435	-0.024372	0.030721	0.35851	0.13801	-0.92327	0.2634	-0.064958
PR6 Z	0.087435	-0.024372	0.030721	-0.9324	0.10154	-0.34687	0.2634	-0.064958
PR7 X	0.03197	-0.036073	0.078634	-0.015218	-0.99075	-0.13483	0.081536	-0.085238
PR7 Y	0.03197	-0.036073	0.078634	0.95015	0.02767	-0.31057	0.081536	-0.085238
PR7 Z	0.03197	-0.036073	0.078634	-0.31142	0.13283	-0.94094	0.081536	-0.085238
PR8 X	0.051437	-0.060017	0.060408	-0.23304	-0.86504	-0.44429	0.13218	-0.15265
PR8 Y	0.051437	-0.060017	0.060408	0.822	0.068901	-0.56531	0.13218	-0.15265
PR8 Z	0.051437	-0.060017	0.060408	-0.51963	0.49695	-0.695	0.13218	-0.15265
PR9 X	0.073049	-0.062139	0.03254	0.40601	0.84119	0.35714	0.20803	-0.17894
PR9 Y	0.073049	-0.062139	0.03254	-0.49673	-0.1249	0.85887	0.20803	-0.17894
PR9 Z	0.073049	-0.062139	0.03254	-0.76708	0.52612	-0.36714	0.20803	-0.17894
OR1 X	0.019498	-0.074492	0.062568	0.13737	0.71404	0.68649	0.051045	-0.19131
OR1 Y	0.019498	-0.074492	0.062568	-0.97812	-0.011526	0.20771	0.051045	-0.19131
OR1 Z	0.019498	-0.074492	0.062568	-0.15623	0.7	-0.69684	0.051045	-0.19131
OR2 X	0.040759	-0.087165	0.035176	-0.45739	-0.55021	-0.69862	0.11528	-0.25112
OR2 Y	0.040759	-0.087165	0.035176	0.81461	0.055836	-0.57731	0.11528	-0.25112
OR2 Z	0.040759	-0.087165	0.035176	-0.35665	0.83316	-0.42267	0.11528	-0.25112
OR3 X	0.059635	-0.086373	0.0021628	0.72161	0.62478	0.2982	0.19316	-0.29367
OR3 Y	0.059635	-0.086373	0.0021628	-0.28383	-0.12588	0.95058	0.19316	-0.29367
OR3 Z	0.059635	-0.086373	0.0021628	-0.63144	0.77058	-0.086495	0.19316	-0.29367
OR4 X	0.070882	-0.076164	-0.034062	-0.6336	-0.77303	-0.031428	0.28295	-0.32345
OR4 Y	0.070882	-0.076164	-0.034062	0.020819	0.023572	-0.99951	0.28295	-0.32345
OR4 Z	0.070882	-0.076164	-0.034062	-0.77338	0.63394	-0.001159	0.28295	-0.32345
OR5 X	0.021924	-0.10275	0.0064876	0.48445	0.28302	0.82777	0.071163	-0.343
OR5 Y	0.021924	-0.10275	0.0064876	-0.85814	-0.030141	0.51253	0.071163	-0.343
OR5 Z	0.021924	-0.10275	0.0064876	-0.17001	0.95864	-0.22827	0.071163	-0.343
OR6 X	0.039673	-0.1	-0.028903	0.88829	0.42727	0.16847	0.14924	-0.40111
OR6 Y	0.039673	-0.1	-0.028903	-0.17514	-0.023967	0.98425	0.14924	-0.40111
OR6 Z	0.039673	-0.1	-0.028903	-0.42458	0.9038	-0.053542	0.14924	-0.40111
TR1 X	0.085254	0.040923	-0.040844	0.27964	-0.95811	0.061923	0.3957	0.23703
TR1 Y	0.085254	0.040923	-0.040844	0.10969	-0.032193	-0.99344	0.3957	0.23703
TR1 Z	0.085254	0.040923	-0.040844	-0.95382	-0.2846	-0.096089	0.3957	0.23703
TR2 X	0.089339	0.021015	-0.0099878	-0.25027	0.96346	0.095444	0.36147	0.11396
TR2 Y	0.089339	0.021015	-0.0099878	-0.0071583	-0.10042	0.99492	0.36147	0.11396
TR2 Z	0.089339	0.021015	-0.0099878	-0.96815	-0.24832	-0.032029	0.36147	0.11396
TR3 X	0.094958	0.00090639	-0.045984	0.18625	-0.98186	0.035622	0.45	0.018786
TR3 Y	0.094958	0.00090639	-0.045984	0.027453	-0.031042	-0.99914	0.45	0.018786
TR3 Z	0.094958	0.00090639	-0.045984	-0.98212	-0.18707	-0.021173	0.45	0.018786
TR4 X	0.094475	-0.015949	-0.0072226	0.019432	0.99503	0.097651	0.35846	-0.051087
TR4 Y	0.094475	-0.015949	-0.0072226	-0.086983	-0.095617	0.99161	0.35846	-0.051087
TR4 Z	0.094475	-0.015949	-0.0072226	-0.99602	0.027763	-0.084693	0.35846	-0.051087
TR5 X	0.090475	-0.041874	-0.039155	-0.40014	-0.91644	-0.004718	0.39215	-0.18261
TR5 Y	0.090475	-0.041874	-0.039155	0.020116	-0.0036359	-0.99979	0.39215	-0.18261
TR5 Z	0.090475	-0.041874	-0.039155	-0.91623	0.40015	-0.01989	0.39215	-0.18261
TR6 X	0.084117	-0.054041	-0.0028253	-0.40976	-0.89816	-0.15938	0.2947	-0.19456
TR6 Y	0.084117	-0.054041	-0.0028253	0.081943	0.13777	-0.98707	0.2947	-0.19456
TR6 Z	0.084117	-0.054041	-0.0028253	-0.90851	0.41752	-0.017147	0.2947	-0.19456
FC1 X	5.6799e-05	0.10554	-0.012234	-0.035599	-0.19286	0.98058	0.001317	0.43658
FC1 Y	5.6799e-05	0.10554	-0.012234	0.99936	-0.0027778	0.035734	0.001317	0.43658
FC1 Z	5.6799e-05	0.10554	-0.012234	0.004168	-0.98122	-0.19284	0.001317	0.43658
FC2 X	6.191e-06	0.083609	0.042022	0.012623	0.63713	-0.77065	0.0011468	0.29383
FC2 Y	6.191e-06	0.083609	0.042022	-0.9999	0.0031995	-0.013733	0.0011468	0.29383
FC2 Z	6.191e-06	0.083609	0.042022	0.006284	-0.77075	-0.63711	0.0011468	0.29383
PC1 X	0.00019068	0.057612	0.063124	-0.004274	-0.87213	0.48926	0.0016496	0.20499
PC1 Y	0.00019068	0.057612	0.063124	0.99999	-0.0020933	0.0050041	0.0016496	0.20499
PC1 Z	0.00019068	0.057612	0.063124	0.00334	-0.48927	-0.87212	0.0016496	0.20499
PC2 X	0.00024824	0.02647	0.076613	0.003651	0.94326	-0.33203	0.001805	0.1012
PC2 Y	0.00024824	0.02647	0.076613	-0.99999	0.0023966	-0.0041873	0.001805	0.1012
PC2 Z	0.00024824	0.02647	0.076613	0.003154	-0.33205	-0.94326	0.001805	0.1012
PC3 X	0.00014981	-0.01264	0.085451	-0.003234	-0.99819	0.06001	0.0014983	-0.019638
PC3 Y	0.00014981	-0.01264	0.085451	0.99998	-0.0029412	0.0049675	0.0014983	-0.019638
PC3 Z	0.00014981	-0.01264	0.085451	0.004782	-0.060025	-0.99819	0.0014983	-0.019638
PC4 X	3.5375e-05	-0.052034	0.079596	0.000645	0.92325	0.3842	0.0011786	-0.12453
PC4 Y	3.5375e-05	-0.052034	0.079596	-0.99999	0.0024661	-0.0042475	0.0011786	-0.12453
PC4 Z	3.5375e-05	-0.052034	0.079596	0.004869	0.38419	-0.92324	0.0011786	-0.12453
OC1 X	5.9529e-05	-0.094157	0.036474	0.002707	-0.4436	-0.89622	0.001252	-0.27499
OC1 Y	5.9529e-05	-0.094157	0.036474	0.99999	-0.0020247	0.0040226	0.001252	-0.27499
OC1 Z	5.9529e-05	-0.094157	0.036474	0.003599	0.89622	-0.44359	0.001252	-0.27499
OC2 X	0.00017491	-0.10859	-0.02803	-0.027411	0.067007	0.99738	0.0018129	-0.43
OC2 Y	0.00017491	-0.10859	-0.02803	-0.99961	0.0030165	-0.027675	0.0018129	-0.43
OC2 Z	0.00017491	-0.10859	-0.02803	0.004863	0.99775	-0.066898	0.0018129	-0.43
