Name	Px	Py	Pz	Ox	Oy	Oz	Layx	Layy
OR2 Z	0.05639	-0.065108	0.024018	-0.75372	0.60407	-0.25886	0.17714	-0.20667
OR3 X	0.030513	-0.084103	0.023154	-0.52503	-0.45818	-0.71722	0.095129	-0.27163
OR3 Y	0.030513	-0.084103	0.023154	0.78099	0.075517	-0.61996	0.095129	-0.27163
OR3 Z	0.030513	-0.084103	0.023154	-0.33822	0.88564	-0.31819	0.095129	-0.27163
OR4 X	0.049514	-0.077893	-0.0072681	0.72844	0.66634	0.15926	0.18397	-0.31358
OR4 Y	0.049514	-0.077893	-0.0072681	-0.10082	-0.12567	0.98694	0.18397	-0.31358
OR4 Z	0.049514	-0.077893	-0.0072681	-0.67765	0.73498	0.024363	0.18397	-0.31358
OR5 X	0.059237	-0.061993	-0.036195	-0.53162	-0.84653	-0.027872	0.28518	-0.32857
OR5 Y	0.059237	-0.061993	-0.036195	-0.066021	0.074223	-0.99505	0.28518	-0.32857
OR5 Z	0.059237	-0.061993	-0.036195	-0.84441	0.52715	0.095347	0.28518	-0.32857
OR6 X	0.019236	-0.092756	-0.0079022	0.88815	0.17408	0.42531	0.071206	-0.36984
OR6 Y	0.019236	-0.092756	-0.0079022	-0.41177	-0.10946	0.90469	0.071206	-0.36984
OR6 Z	0.019236	-0.092756	-0.0079022	-0.20405	0.97863	0.025535	0.071206	-0.36984
OR7 X	0.034282	-0.084377	-0.037781	0.88374	0.46255	-0.071017	0.15541	-0.42588
OR7 Y	0.034282	-0.084377	-0.037781	0.11856	-0.074496	0.99015	0.15541	-0.42588
OR7 Z	0.034282	-0.084377	-0.037781	-0.4527	0.88346	0.12067	0.15541	-0.42588
TR1 X	0.07506	0.015159	0.0023153	-0.20753	0.97155	0.11413	0.32017	0.12892
TR1 Y	0.07506	0.015159	0.0023153	-0.042066	-0.12543	0.99121	0.32017	0.12892
TR1 Z	0.07506	0.015159	0.0023153	-0.97732	-0.20091	-0.066899	0.32017	0.12892
TR2 X	0.077834	0.00016079	-0.029221	0.053751	-0.99589	-0.072934	0.414	0.048839
TR2 Y	0.077834	0.00016079	-0.029221	-0.0090799	0.072549	-0.99732	0.414	0.048839
TR2 Z	0.077834	0.00016079	-0.029221	-0.99851	-0.054269	0.005143	0.414	0.048839
TR3 X	0.077365	-0.017789	-0.00049547	0.08275	0.98786	0.13146	0.32489	-0.046049
TR3 Y	0.077365	-0.017789	-0.00049547	-0.039163	-0.12858	0.99093	0.32489	-0.046049
TR3 Z	0.077365	-0.017789	-0.00049547	-0.9958	0.087147	-0.028048	0.32489	-0.046049
TR4 X	0.073345	-0.032991	-0.034044	-0.31413	-0.94798	-0.05152	0.38318	-0.16553
TR4 Y	0.073345	-0.032991	-0.034044	-0.067981	0.076588	-0.99474	0.38318	-0.16553
TR4 Z	0.073345	-0.032991	-0.034044	-0.94694	0.30897	0.088503	0.38318	-0.16553
TR5 X	0.068882	-0.049992	-0.0050377	-0.41354	-0.90116	-0.12999	0.27636	-0.20306
TR5 Y	0.068882	-0.049992	-0.0050377	0.027241	0.13046	-0.99108	0.27636	-0.20306
TR5 Z	0.068882	-0.049992	-0.0050377	-0.91008	0.41339	0.029402	0.27636	-0.20306
FC1 X	1.67e-07	0.09146	0.016534	-0.000126	0.34299	-0.93934	-4.1872e-07	0.41302
FC1 Y	1.67e-07	0.09146	0.016534	-1	1.8718e-06	0.00013482	-4.1872e-07	0.41302
FC1 Z	1.67e-07	0.09146	0.016534	-4.8e-05	-0.93934	-0.34299	-4.1872e-07	0.41302
FC2 X	-3.4604e-05	0.057529	0.06148	-0.002468	0.83898	-0.54416	-0.00014505	0.24802
FC2 Y	-3.4604e-05	0.057529	0.06148	-0.99999	-0.00080269	0.0032978	-0.00014505	0.24802
FC2 Z	-3.4604e-05	0.057529	0.06148	-0.00233	-0.54417	-0.83897	-0.00014505	0.24802
PC1 X	-0.0001036	0.0060935	0.078029	-0.000706	0.99324	-0.11611	-0.00032483	0.06933
PC1 Y	-0.0001036	0.0060935	0.078029	-1	-0.00056084	0.0012828	-0.00032483	0.06933
PC1 Z	-0.0001036	0.0060935	0.078029	-0.001209	-0.11611	-0.99324	-0.00032483	0.06933
PC2 X	-2.661e-06	-0.027685	0.078363	0.000231	-0.98728	-0.15897	-3.6523e-05	-0.041426
PC2 Y	-2.661e-06	-0.027685	0.078363	1	0.0005034	-0.0016733	-3.6523e-05	-0.041426
PC2 Z	-2.661e-06	-0.027685	0.078363	-0.001732	0.15897	-0.98728	-3.6523e-05	-0.041426
PC3 X	-3.9704e-05	-0.059256	0.066267	0.00015	0.82083	0.57118	-0.00012272	-0.14096
PC3 Y	-3.9704e-05	-0.059256	0.066267	-1	-0.00027213	0.00065369	-0.00012272	-0.14096
PC3 Z	-3.9704e-05	-0.059256	0.066267	-0.000692	0.57118	-0.82083	-0.00012272	-0.14096
OC1 X	-2.5522e-05	-0.080509	0.042761	-0.001803	-0.48394	-0.8751	-0.00011107	-0.23027
OC1 Y	-2.5522e-05	-0.080509	0.042761	1	0.00072191	-0.0024595	-0.00011107	-0.23027
OC1 Z	-2.5522e-05	-0.080509	0.042761	-0.001822	0.8751	-0.48393	-0.00011107	-0.23027
OC2 X	-5.2334e-05	-0.091236	0.016097	0.00198	0.28103	0.9597	-0.00020686	-0.31304
OC2 Y	-5.2334e-05	-0.091236	0.016097	-1	-0.0005952	0.0022374	-0.00020686	-0.31304
OC2 Z	-5.2334e-05	-0.091236	0.016097	-0.0012	0.9597	-0.28103	-0.00020686	-0.31304
OC3 X	2.0841e-05	-0.092812	-0.035066	0.13798	0.096011	-0.98577	7.0795e-06	-0.454
OC3 Y	2.0841e-05	-0.092812	-0.035066	0.99043	-0.010134	0.13764	7.0795e-06	-0.454
OC3 Z	2.0841e-05	-0.092812	-0.035066	-0.003225	0.99533	0.09649	7.0795e-06	-0.454
